cos_delta_phi,protein_a,protein_b
0.23118502,HNRNPC_HepG2,PABPN1_HepG2
0.3181808,DDX3X_K562,HNRNPC_HepG2
0.50131446,PABPN1_HepG2,UPF1_HepG2
0.54537517,HNRNPC_HepG2,ZNF622_K562
0.57747436,DDX3X_K562,UPF1_HepG2
0.5996942,HNRNPC_HepG2,LIN28B_HepG2
0.72711146,HNRNPC_HepG2,XRCC6_K562
0.72930735,HNRNPC_HepG2,HNRNPM_HepG2
0.729415,HNRNPC_HepG2,XPO5_HepG2
0.7294323,HNRNPC_HepG2,RBFOX2_HepG2
0.72943264,HNRNPC_HepG2,XRN2_HepG2
0.7294836,HNRNPC_HepG2,NCBP2_K562
0.72949815,HNRNPC_HepG2,SF3A3_HepG2
0.7295011,HNRNPC_HepG2,TIA1_HepG2
0.7295033,GTF2F1_HepG2,HNRNPC_HepG2
0.72950876,HNRNPC_HepG2,RBM15_K562
0.7295137,FTO_K562,HNRNPC_HepG2
0.72951406,HNRNPC_HepG2,HNRNPU_K562
0.72951514,HNRNPC_HepG2,ILF3_HepG2
0.72951746,HNRNPA1_K562,HNRNPC_HepG2
0.7295189,HNRNPC_HepG2,ZC3H8_K562
0.72952014,FKBP4_HepG2,HNRNPC_HepG2
0.7295207,CDC40_HepG2,HNRNPC_HepG2
0.7295216,HNRNPC_HepG2,ZRANB2_K562
0.72952217,HNRNPC_HepG2,TRA2A_HepG2
1.0,YBX3_K562,ZC3H8_K562
1.0,YBX3_K562,ZNF800_HepG2
1.0,YBX3_K562,ZNF800_K562
1.0,YBX3_K562,ZRANB2_K562
1.0,YWHAG_K562,ZC3H11A_HepG2
1.0,YWHAG_K562,ZC3H11A_K562
1.0,YWHAG_K562,ZC3H8_K562
1.0,YWHAG_K562,ZNF800_HepG2
1.0,YWHAG_K562,ZNF800_K562
1.0,YWHAG_K562,ZRANB2_K562
1.0,ZC3H11A_HepG2,ZC3H11A_K562
1.0,ZC3H11A_HepG2,ZC3H8_K562
1.0,ZC3H11A_HepG2,ZNF800_HepG2
1.0,ZC3H11A_HepG2,ZNF800_K562
1.0,ZC3H11A_HepG2,ZRANB2_K562
1.0,ZC3H11A_K562,ZC3H8_K562
1.0,ZC3H11A_K562,ZNF800_HepG2
1.0,ZC3H11A_K562,ZNF800_K562
1.0,ZC3H11A_K562,ZRANB2_K562
1.0,ZC3H8_K562,ZNF800_HepG2
1.0,ZC3H8_K562,ZNF800_K562
1.0,ZC3H8_K562,ZRANB2_K562
1.0,ZNF800_HepG2,ZNF800_K562
1.0,ZNF800_HepG2,ZRANB2_K562
1.0,ZNF800_K562,ZRANB2_K562
